Bam,Total Fragments,Filtered Fragments,Max WFpkm (10 kb bins),Cell Line,Assay
ENCFF683RST,86716019,78112300,13.0,HAP-1,H3K4me3
ENCFF941CSK,100953140,90845864,11.0,HAP-1,H3K4me3
ENCFF289JFI,70898108,64534217,31.0,MG63,H3K4me3
ENCFF778ZUK,84905617,77422930,32.0,MG63,H3K4me3
ENCFF639EED,79648038,69807038,10.0,RWPE2,H3K4me3
ENCFF696EBU,75286399,65118423,11.0,RWPE2,H3K4me3
ENCFF249YKT,83941981,77134376,55.0,SJCRH30,H3K4me3
ENCFF409CAG,86985228,79654231,51.0,SJCRH30,H3K4me3
ENCFF759EUU,74121515,66510060,85.0,SJSA1,H3K4me3
ENCFF942YVE,76886308,68668188,82.0,SJSA1,H3K4me3
