,A549$_{000}$,A549$_{001}$,A549$_{002}$,A549$_{100}$,A549$_{101}$,A549$_{102}$,A549$_{200}$,A549$_{201}$,A549$_{300}$,A549$_{301}$,A549$_{302}$,GM12878$_{400}$,GM12878$_{401}$,HepG2$_{500}$,HepG2$_{501}$,IMR-90$_{600}$,IMR-90$_{601}$,K562$_{700}$,K562$_{701}$,RWPE2$_{800}$,RWPE2$_{801}$,RWPE2$_{802}$,WTC11$_{900}$,WTC11$_{901}$
A549$_{000}$,1.0,0.8815316961516774,0.8643763619584068,0.7713904259471844,0.6823986160095148,0.6853013030311942,0.6813025617424011,0.7063983070165705,0.7436625736878189,0.7311456317119993,0.7451474635213053,0.5166027241459163,0.48447661541165254,0.4365893060097876,0.48969142901141627,0.5459673527011188,0.5718269211468299,0.48520584794080013,0.4870338320752526,0.4577149539548232,0.4786548008310976,0.5041806640960498,0.45526642350540003,0.448225876619081
A549$_{001}$,0.8815316961516774,1.0,0.8491030877912271,0.7644308579044035,0.668321542962657,0.6713404362837996,0.6744588211942195,0.7010419380724623,0.7342483830398949,0.7195124998876767,0.7350785345924736,0.5256977564702663,0.49315118503638244,0.4488196984669851,0.5033590972865698,0.5544191060326525,0.5816274693905443,0.4971542733698616,0.4985677365787565,0.4607942826373043,0.48255397606188866,0.5092150284862191,0.46341703086490404,0.45371276328446114
A549$_{002}$,0.8643763619584068,0.8491030877912271,1.0,0.7730574463992422,0.6844800430827069,0.6842968357800399,0.6909222781837061,0.7153242507609752,0.7442384074962125,0.7338880137597816,0.7480045482783612,0.5246659439741747,0.4889643076513673,0.43842588325328247,0.4947741817427297,0.5481261974470547,0.5751082911896978,0.4963098026011223,0.49773755359294947,0.44452265742462627,0.47417948932653453,0.49769284058355895,0.4614870501532371,0.4544156446726576
A549$_{100}$,0.7713904259471844,0.7644308579044035,0.7730574463992422,1.0,0.8550337155843722,0.8643536707640646,0.8512925992647102,0.8696288067599764,0.8793228720070371,0.8846545509218464,0.8847897099602201,0.5752380557554819,0.533495933030312,0.4654842443592787,0.5312460170731891,0.5866599927747393,0.609980326204802,0.51790722970765,0.5401887521159148,0.46092953932755454,0.5013632736932638,0.5199262718258117,0.49523130794139375,0.4879103261938944
A549$_{101}$,0.6823986160095148,0.668321542962657,0.6844800430827069,0.8550337155843722,1.0,0.8511942594247129,0.7992188220192952,0.8181128501845709,0.8144749053961109,0.82556138947468,0.8257222474978316,0.5153755441711954,0.47489597928064853,0.4096595645223518,0.46985763157120886,0.5107744795824342,0.5328766360104791,0.4554585507968274,0.47487040148073684,0.3999551390874822,0.4367118147718719,0.45414348201503413,0.4330938590468326,0.42807887182651627
A549$_{102}$,0.6853013030311942,0.6713404362837996,0.6842968357800399,0.8643536707640646,0.8511942594247129,1.0,0.802218324918111,0.8245983673640014,0.8233331888836908,0.8360417829163881,0.8311689102281161,0.516181135855345,0.4772802642639301,0.4090211456531433,0.46810019290880966,0.5118341914999074,0.5332631817876148,0.45331797150281505,0.4741135874069325,0.40485177706835174,0.44106739205587076,0.45769320762671983,0.43485741058500416,0.42933081707815746
A549$_{200}$,0.6813025617424011,0.6744588211942195,0.6909222781837061,0.8512925992647102,0.7992188220192952,0.802218324918111,1.0,0.8734421468459836,0.8193583560847761,0.8240110724636094,0.8278084291045535,0.5489930262972277,0.5006606149516675,0.4339040561976706,0.5020098540426221,0.5340686301664989,0.5532339863653832,0.4866119144312624,0.5077162210748057,0.390962352794447,0.43294588279139756,0.45114451005943623,0.4527329296245614,0.4449897129098176
A549$_{201}$,0.7063983070165705,0.7010419380724623,0.7153242507609752,0.8696288067599764,0.8181128501845709,0.8245983673640014,0.8734421468459836,1.0,0.8413304406760832,0.8466709575199316,0.846307347296019,0.5637602200390412,0.5212111109808277,0.46438935874826415,0.5262595801277011,0.562203240296071,0.5804057341749014,0.5026569624553402,0.5233676308233246,0.42885550026035646,0.46915957664702096,0.48667297086707717,0.48598727131785735,0.4790718325051377
A549$_{300}$,0.7436625736878189,0.7342483830398949,0.7442384074962125,0.8793228720070371,0.8144749053961109,0.8233331888836908,0.8193583560847761,0.8413304406760832,1.0,0.9322537281314586,0.9384864411955555,0.5804877966143025,0.5364803607620483,0.4528295515164243,0.5217278437710889,0.5844152945843871,0.6097755468797037,0.5158064639834163,0.5346660209428338,0.4537770922890135,0.4864219223616258,0.508497989139832,0.4816088147010705,0.47291238003130487
A549$_{301}$,0.7311456317119993,0.7195124998876767,0.7338880137597816,0.8846545509218464,0.82556138947468,0.8360417829163881,0.8240110724636094,0.8466709575199316,0.9322537281314586,1.0,0.9364642846800058,0.5823777561331478,0.5389004903530024,0.4561438978525011,0.5242634630272456,0.5899558744186515,0.6146410115023432,0.5181811565870663,0.5393986171403846,0.4576213975903006,0.49081721479146256,0.5111669501834915,0.4942707581445377,0.48680209036466393
A549$_{302}$,0.7451474635213053,0.7350785345924736,0.7480045482783612,0.8847897099602201,0.8257222474978316,0.8311689102281161,0.8278084291045535,0.846307347296019,0.9384864411955555,0.9364642846800058,1.0,0.5838177427488397,0.5412618554503832,0.45630139353735694,0.5235484740621287,0.5902912219860098,0.614347435197617,0.5198340456775683,0.5389731455053184,0.45695240554119865,0.4918476423040422,0.5127098319482704,0.4893081113556682,0.48078766955797153
GM12878$_{400}$,0.5166027241459163,0.5256977564702663,0.5246659439741747,0.5752380557554819,0.5153755441711954,0.516181135855345,0.5489930262972277,0.5637602200390412,0.5804877966143025,0.5823777561331478,0.5838177427488397,1.0,0.895793929800675,0.5001623575903554,0.5761096055759383,0.6306597325326231,0.653916987756954,0.6110120599344415,0.6414582779468535,0.38920466316310337,0.4331987342733088,0.4519954962606242,0.5362572848818995,0.5133324794152615
GM12878$_{401}$,0.48447661541165254,0.49315118503638244,0.4889643076513673,0.533495933030312,0.47489597928064853,0.4772802642639301,0.5006606149516675,0.5212111109808277,0.5364803607620483,0.5389004903530024,0.5412618554503832,0.895793929800675,1.0,0.47022516624261895,0.5372233670200066,0.5800631658791751,0.6039388119489443,0.5762860537873049,0.5984702929947645,0.37298126955708755,0.4102842271037409,0.42743151397147405,0.5050728954757299,0.48861613892048095
HepG2$_{500}$,0.4365893060097876,0.4488196984669851,0.43842588325328247,0.4654842443592787,0.4096595645223518,0.4090211456531433,0.4339040561976706,0.46438935874826415,0.4528295515164243,0.4561438978525011,0.45630139353735694,0.5001623575903554,0.47022516624261895,1.0,0.8056505693938845,0.4839241743012282,0.4999776308643786,0.4685136561820823,0.4829157288007528,0.3734626075943208,0.3967638571965404,0.41417819100291886,0.4474972923460895,0.4311768955788231
HepG2$_{501}$,0.48969142901141627,0.5033590972865698,0.4947741817427297,0.5312460170731891,0.46985763157120886,0.46810019290880966,0.5020098540426221,0.5262595801277011,0.5217278437710889,0.5242634630272456,0.5235484740621287,0.5761096055759383,0.5372233670200066,0.8056505693938845,1.0,0.5593684445773747,0.5786557265929643,0.5387967013596273,0.5633752185129317,0.39897206071000413,0.43327528681900374,0.4536186582227041,0.5067153158166215,0.48463874785276706
