,A549$_{000}$,A549$_{001}$,A549$_{002}$,A549$_{100}$,A549$_{101}$,A549$_{102}$,A549$_{200}$,A549$_{201}$,A549$_{300}$,A549$_{301}$,A549$_{302}$,GM12878$_{400}$,GM12878$_{401}$,HepG2$_{500}$,HepG2$_{501}$,IMR-90$_{600}$,IMR-90$_{601}$,K562$_{700}$,K562$_{701}$,RWPE2$_{800}$,RWPE2$_{801}$,RWPE2$_{802}$,WTC11$_{900}$,WTC11$_{901}$
A549$_{000}$,1.0,0.7770981313200532,0.7471464951124508,0.5950431892429786,0.4656678711317012,0.46963787593625267,0.4641731806367583,0.49899856815587695,0.5530340235039906,0.5345739347715386,0.5552447423922351,0.26687837459498176,0.2347175908807303,0.190610222122108,0.23979769564724293,0.2980803502154679,0.3269860277482628,0.23542471487595085,0.23720195358590532,0.20950297907386592,0.22911041835865772,0.2541981420483338,0.20726751637139826,0.2009064364709436
A549$_{001}$,0.7770981313200532,1.0,0.7209760536965963,0.5843545365164623,0.44665368478798656,0.4506979813897224,0.4548947014866962,0.4914597989363941,0.5391206879967002,0.517698237494614,0.5403404520186185,0.2763581311578714,0.24319809130278833,0.20143912173199544,0.25337038082115043,0.3073805451340456,0.3382905131496486,0.2471623715299151,0.24856978795726437,0.2123313709112279,0.2328583398131378,0.25929994523622096,0.21475534449564343,0.20585527156722147
A549$_{002}$,0.7471464951124508,0.7209760536965963,1.0,0.5976178154333173,0.46851292937850436,0.46826215945857486,0.47737359449056255,0.5116887837267505,0.5538908071924985,0.5385916167402774,0.5595108042451151,0.2752743527663118,0.23908609415698096,0.19221725510642088,0.2448014909191877,0.3004423283277676,0.33074954659513417,0.24632342015796496,0.24774267225669425,0.19760039296385165,0.22484618809797308,0.24769816356813182,0.21297029745913637,0.20649357812326702
A549$_{100}$,0.5950431892429786,0.5843545365164623,0.5976178154333173,1.0,0.7310826547860172,0.7471072681633129,0.7246990895628665,0.7562542615467804,0.7732087132347041,0.7826136744667338,0.7828528308514904,0.33089882078934696,0.2846179105598831,0.21667558174672868,0.2822223306561271,0.34416994712245724,0.3720759983569167,0.2682278985834526,0.29180388791254924,0.21245604022471165,0.2513651322084266,0.2703233281346879,0.24525404836534356,0.23805648640663243
A549$_{101}$,0.4656678711317012,0.44665368478798656,0.46851292937850436,0.7310826547860172,1.0,0.7245316672775856,0.6387507254699099,0.6693086356371222,0.6633693715200037,0.6815516077913644,0.6818172300128703,0.26561195152975575,0.22552619113692615,0.16782095880464293,0.22076619394570585,0.26089056899270646,0.2839575092058446,0.2074424914939462,0.22550189820247618,0.15996411328248725,0.19071720916134174,0.20624630225673962,0.18757029074407772,0.18325152050426294
A549$_{102}$,0.46963787593625267,0.4506979813897224,0.46826215945857486,0.7471072681633129,0.7245316672775856,1.0,0.6435542408344198,0.6799624674593766,0.6778775399173872,0.698965862782013,0.6908417573297941,0.2664429650129141,0.22779645065584697,0.16729829759140985,0.21911779060126482,0.26197423958836386,0.2843696210502507,0.20549718328742705,0.22478369376387103,0.16390496139540237,0.1945404443349672,0.20948307230763566,0.1891009675406949,0.1843249504929983
A549$_{200}$,0.4641731806367583,0.4548947014866962,0.47737359449056255,0.7246990895628665,0.6387507254699099,0.6435542408344198,1.0,0.7629011838869209,0.6713481156859468,0.6789942475426277,0.6852667952965487,0.3013933429229885,0.25066105136378186,0.18827272998479128,0.25201389355589476,0.28522930172792055,0.30606784366973305,0.23679115526645822,0.257775761142481,0.15285156130256966,0.18744213742602256,0.20353136895676877,0.20496710556643807,0.19801584459556187
A549$_{201}$,0.49899856815587695,0.4914597989363941,0.5116887837267505,0.7562542615467804,0.6693086356371222,0.6799624674593766,0.7629011838869209,1.0,0.7078369104082124,0.7168517103077178,0.7162361260872244,0.3178255856984682,0.2716610222098687,0.215657476518624,0.2769491456761843,0.3160724833994018,0.3368708162631063,0.2526640219048293,0.2739136769936198,0.1839170401035606,0.22011070835961194,0.23685058057258696,0.2361836278829767,0.2295098206998307
A549$_{300}$,0.5530340235039906,0.5391206879967002,0.5538908071924985,0.7732087132347041,0.6633693715200037,0.6778775399173872,0.6713481156859468,0.7078369104082124,1.0,0.8690970136150035,0.8807568003078988,0.33696608201812783,0.2878111774833775,0.20505460272656595,0.2721999429660298,0.34154123654415597,0.3718262175724417,0.2660563082870754,0.28586775395084274,0.20591364948627186,0.2366062865539795,0.2585702049592527,0.23194705039777003,0.22364611918687333
A549$_{301}$,0.5345739347715386,0.517698237494614,0.5385916167402774,0.7826136744667338,0.6815516077913644,0.698965862782013,0.6789942475426277,0.7168517103077178,0.8690970136150035,1.0,0.8769653564812349,0.33916385083868017,0.2904137385027064,0.20806725554807295,0.2748521786653201,0.3480479337610757,0.37778357302062354,0.26851171104190974,0.29095086817295923,0.2094173435325,0.2409015383356487,0.26129165095989204,0.24430358235677607,0.23697627518340642
