,A549$_{000}$,A549$_{001}$,A549$_{002}$,A549$_{100}$,A549$_{101}$,A549$_{102}$,A549$_{200}$,A549$_{201}$,A549$_{300}$,A549$_{301}$,A549$_{302}$,GM12878$_{400}$,GM12878$_{401}$,HepG2$_{500}$,HepG2$_{501}$,IMR-90$_{600}$,IMR-90$_{601}$,K562$_{700}$,K562$_{701}$,RWPE2$_{800}$,RWPE2$_{801}$,RWPE2$_{802}$,WTC11$_{900}$,WTC11$_{901}$
A549$_{000}$,1.0,0.8045730819632484,0.7832090343865122,0.6361350681271289,0.5704351776575705,0.5732000040676781,0.5742280335293297,0.5886724226451073,0.6393687695379957,0.620433410098267,0.6306904920263952,0.41305745631806945,0.40766431989946134,0.3948767544912532,0.44339951594851035,0.4804478642939957,0.501743953422311,0.4297283679534667,0.43737934236798737,0.39048670306294875,0.4031850007726516,0.42797842420883997,0.41482817839432046,0.402440036072678
A549$_{001}$,0.8045730819632484,1.0,0.7629782848207032,0.6279999420385972,0.5507066123619165,0.5545045555328396,0.5609514063086135,0.5780676219240808,0.6299136980336233,0.6084877492360211,0.6219018205256408,0.41997421613552377,0.4153328917810207,0.40347004123983715,0.4540516521728268,0.4875731506803307,0.5102296117572024,0.4372537624613648,0.44624826680025387,0.3883506329789928,0.4033354852499685,0.42943341710038063,0.42284260426680237,0.40648169605748685
A549$_{002}$,0.7832090343865122,0.7629782848207032,1.0,0.6217730701460111,0.5667854086075428,0.5637647848121424,0.5758952144929597,0.5833189157507042,0.6208765623538071,0.6029982146077085,0.6133489112433577,0.4096584548729617,0.40336388008607305,0.3917513683598545,0.4403594738243566,0.4769738136239849,0.4966215320228486,0.42904502850174825,0.43645551291460233,0.37965231749661177,0.3989964850026381,0.42155934271413903,0.4150404344321147,0.4031659815861945
A549$_{100}$,0.6361350681271289,0.6279999420385972,0.6217730701460111,1.0,0.6223555481712372,0.6534845184257649,0.6206734619551252,0.6845714273552701,0.7388633154207361,0.7429714719508845,0.7427261165309338,0.4620534176184843,0.4518413468899821,0.3933312143195063,0.4578308248935751,0.4899676814431365,0.5150952142136854,0.45640777186835,0.47334000150946776,0.37353498154791975,0.3957566206164923,0.41762004559877025,0.4121894730887106,0.3956552379350657
A549$_{101}$,0.5704351776575705,0.5507066123619165,0.5667854086075428,0.6223555481712372,1.0,0.7208099651475641,0.6517658301268737,0.6416056318049005,0.6148946967872635,0.6103460723106451,0.6090215222621188,0.37480975065451844,0.3730886361275589,0.3463272200597785,0.39492733468694363,0.4204544676874,0.4326143479486937,0.3821267761927194,0.3908878900796619,0.342096386138169,0.3656407689158378,0.382377777565929,0.36790039439511396,0.3592411546467924
A549$_{102}$,0.5732000040676781,0.5545045555328396,0.5637647848121424,0.6534845184257649,0.7208099651475641,1.0,0.6477400225201804,0.6548133103519564,0.6402979894644325,0.639340785633016,0.6337840810094746,0.3848244744862559,0.38261531040119334,0.3460388305615597,0.3965780222398404,0.4232984390174621,0.4367601471292748,0.3848184906666889,0.39501120784428234,0.3446217352661131,0.3674099133161703,0.38425268954275427,0.36820899421079506,0.3581262968675854
A549$_{200}$,0.5742280335293297,0.5609514063086135,0.5758952144929597,0.6206734619551252,0.6517658301268737,0.6477400225201804,1.0,0.7030694515371316,0.6212839927994067,0.609305043241849,0.6106978541443783,0.39894386475987703,0.39435307303241296,0.36652336845085093,0.42126315308538004,0.4436715852606774,0.45328519407402146,0.40757148075561117,0.4179501355183544,0.33507021255705105,0.36149147775021956,0.37989812147124885,0.38177356472962726,0.36978657480192445
A549$_{201}$,0.5886724226451073,0.5780676219240808,0.5833189157507042,0.6845714273552701,0.6416056318049005,0.6548133103519564,0.7030694515371316,1.0,0.6670095782745397,0.6654484496755529,0.660778826378839,0.4272687993279474,0.4224635846392018,0.38687915218671515,0.4448557137237941,0.46550321863865457,0.4808727645162581,0.42920837002907164,0.4400960631528855,0.35532517088987997,0.38012150000406647,0.3999214082944739,0.4030278732706795,0.38815758404524947
A549$_{300}$,0.6393687695379957,0.6299136980336233,0.6208765623538071,0.7388633154207361,0.6148946967872635,0.6402979894644325,0.6212839927994067,0.6670095782745397,1.0,0.8216652952821281,0.8343471298280025,0.4602395231020922,0.4461023306744256,0.3861173721413484,0.45168772119865996,0.4911905136583064,0.516869196284432,0.4448136904200737,0.4614113970536371,0.37609788764437485,0.39344729564163183,0.4181638335206966,0.4042253639743176,0.38669568769608187
A549$_{301}$,0.620433410098267,0.6084877492360211,0.6029982146077085,0.7429714719508845,0.6103460723106451,0.639340785633016,0.609305043241849,0.6654484496755529,0.8216652952821281,1.0,0.8247196949881982,0.4610982961072095,0.4487849403355135,0.3853603754002172,0.4510583676464232,0.48955501428523623,0.515457786702149,0.4480461941243362,0.46295634184067647,0.3765925451704652,0.39323505197363035,0.4170388743123226,0.40532541525161925,0.38980798580418197
A549$_{302}$,0.6306904920263952,0.6219018205256408,0.6133489112433577,0.7427261165309338,0.6090215222621188,0.6337840810094746,0.6106978541443783,0.660778826378839,0.8343471298280025,0.8247196949881982,1.0,0.46448382278989925,0.4518960505097345,0.38806232899178983,0.4518698893050905,0.49083413577347174,0.5157423180057358,0.4504680378146576,0.46682726488326176,0.3767356900767067,0.3945947362972792,0.41900639778000415,0.4049311701253653,0.38785896242862805
GM12878$_{400}$,0.41305745631806945,0.41997421613552377,0.4096584548729617,0.4620534176184843,0.37480975065451844,0.3848244744862559,0.39894386475987703,0.4272687993279474,0.4602395231020922,0.4610982961072095,0.46448382278989925,1.0,0.8148826212774767,0.38286171493229243,0.45556158898909804,0.4871006116732036,0.5196425452369198,0.5007709310028775,0.5261381160879489,0.30184798371825927,0.32770072741238476,0.3496335988121993,0.40002044781598006,0.3772192382006393
GM12878$_{401}$,0.40766431989946134,0.4153328917810207,0.40336388008607305,0.4518413468899821,0.3730886361275589,0.38261531040119334,0.39435307303241296,0.4224635846392018,0.4461023306744256,0.4487849403355135,0.4518960505097345,0.8148826212774767,1.0,0.3857337599431697,0.45523805013902274,0.4836157687766432,0.511245278105328,0.4972218357479233,0.5173491548110385,0.30277009063012966,0.32772143058179387,0.3490770167215082,0.4028035927371737,0.3825766754944891
HepG2$_{500}$,0.3948767544912532,0.40347004123983715,0.3917513683598545,0.3933312143195063,0.3463272200597785,0.3460388305615597,0.36652336845085093,0.38687915218671515,0.3861173721413484,0.3853603754002172,0.38806232899178983,0.38286171493229243,0.3857337599431697,1.0,0.706077398361898,0.4286611133595424,0.43210354014128033,0.4095114998934896,0.4118492886266875,0.33868903073244255,0.35090392938554904,0.3678751530426326,0.4041993630611717,0.3894221451281352
HepG2$_{501}$,0.44339951594851035,0.4540516521728268,0.4403594738243566,0.4578308248935751,0.39492733468694363,0.3965780222398404,0.42126315308538004,0.4448557137237941,0.45168772119865996,0.4510583676464232,0.4518698893050905,0.45556158898909804,0.45523805013902274,0.706077398361898,1.0,0.4962325067426656,0.5066676024972615,0.47989611818687455,0.48953894121396346,0.3469154068160796,0.36907673482113723,0.39422735048523055,0.4470510203614573,0.4233937077098525
IMR-90$_{600}$,0.4804478642939957,0.4875731506803307,0.4769738136239849,0.4899676814431365,0.4204544676874,0.4232984390174621,0.4436715852606774,0.46550321863865457,0.4911905136583064,0.48955501428523623,0.49083413577347174,0.4871006116732036,0.4836157687766432,0.4286611133595424,0.4962325067426656,1.0,0.7707100747380693,0.4919335034639468,0.5052206163409403,0.37094731100029005,0.39489437544588557,0.42332370392124075,0.4577119826379772,0.43644906219000584
