,A549$_{000}$,A549$_{001}$,A549$_{002}$,A549$_{100}$,A549$_{101}$,A549$_{102}$,A549$_{200}$,A549$_{201}$,A549$_{300}$,A549$_{301}$,A549$_{302}$,GM12878$_{400}$,GM12878$_{401}$,HepG2$_{500}$,HepG2$_{501}$,IMR-90$_{600}$,IMR-90$_{601}$,K562$_{700}$,K562$_{701}$,RWPE2$_{800}$,RWPE2$_{801}$,RWPE2$_{802}$,WTC11$_{900}$,WTC11$_{901}$
A549$_{000}$,1.0,0.9162043581232238,0.9099964139190555,0.8370904981172109,0.8352948042616426,0.8313434733807261,0.8321030825717498,0.8308186789503152,0.8428403249570077,0.8319961888034103,0.8363121595094196,0.7170347564592878,0.7216257231531157,0.7619151400239024,0.7670559344084382,0.780100565305004,0.7831853695255102,0.7483104991743402,0.7509256749100487,0.7584078348663523,0.7629395170503944,0.7675088903293212,0.7627129569760449,0.7617795927073341
A549$_{001}$,0.9162043581232238,1.0,0.9003710511666431,0.8300124954213113,0.8228549017881378,0.819604063050574,0.8228305532127723,0.8218826196264899,0.8348155838554456,0.8225566604775713,0.829003805697366,0.7144453333029417,0.720052468602545,0.7584011319266009,0.7653673731655737,0.7778577069775932,0.7818455101966154,0.7463220513397247,0.7497461233281147,0.7520690657586875,0.7582100564993186,0.7631161404733385,0.7599244864454626,0.7569621274633026
A549$_{002}$,0.9099964139190555,0.9003710511666431,1.0,0.831261053552706,0.836006649223917,0.8289658301234633,0.8350905023073268,0.8289485445268626,0.8350007400506336,0.8246398016107125,0.8290432907187282,0.7158829887764591,0.7206657525522117,0.7625223259779476,0.766680452307004,0.7807632983442572,0.782377416389901,0.7489789066476563,0.7508788622250542,0.756837243459745,0.7638285264724852,0.7665262422116383,0.7654077648861256,0.7644855829523837
A549$_{100}$,0.8370904981172109,0.8300124954213113,0.831261053552706,1.0,0.8508862288532081,0.8623702147802934,0.8382028534047468,0.8738766580019168,0.8855898729041557,0.889583163196538,0.8881362447376407,0.7533117160235328,0.755551672535026,0.7586763506831102,0.7749196110303821,0.7831150803828564,0.7906440768619284,0.7674528354279038,0.772208732943061,0.7480434937707944,0.7618000531885939,0.7646029829213131,0.7665086240369287,0.7637448495998018
A549$_{101}$,0.8352948042616426,0.8228549017881378,0.836006649223917,0.8508862288532081,1.0,0.9031454944775358,0.8769257347363923,0.8715979394158107,0.8492335112588323,0.8459015749939989,0.8453590228261098,0.7269413838882802,0.734506747821762,0.7711126129839706,0.7726123133782757,0.7791720668410916,0.7768540877905763,0.7551870443237936,0.756380042960042,0.7679127192910276,0.7773016083679917,0.7775921021388122,0.7731442756386923,0.7748940041281849
A549$_{102}$,0.8313434733807261,0.819604063050574,0.8289658301234633,0.8623702147802934,0.9031454944775358,1.0,0.8703618179992816,0.8753644139114879,0.8570808485885532,0.8565994720657246,0.8531229134279373,0.7305909653217344,0.7388430404509391,0.7658135164777974,0.7699994607604032,0.7772566737249088,0.7757632151500023,0.7536151629132345,0.7555460100599481,0.7629222673521674,0.774089036453217,0.7736800198835735,0.7704887304807772,0.7710219879221256
A549$_{200}$,0.8321030825717498,0.8228305532127723,0.8350905023073268,0.8382028534047468,0.8769257347363923,0.8703618179992816,1.0,0.8820326955077032,0.8435520541155467,0.8344988900710623,0.8358032101153399,0.717790452531308,0.7235768350226562,0.7632230085478565,0.7684225387096258,0.7749007477110509,0.7695440110518663,0.7479574566666475,0.7509874631993761,0.7496540131698167,0.7600787921234076,0.760474707160077,0.7598067409700909,0.7606105803933642
A549$_{201}$,0.8308186789503152,0.8218826196264899,0.8289485445268626,0.8738766580019168,0.8715979394158107,0.8753644139114879,0.8820326955077032,1.0,0.8649961416584441,0.866432809152702,0.8628880418543843,0.7504290305129695,0.7564302444242237,0.7749182456248503,0.7859901689062827,0.7902797306188855,0.7910291504622032,0.770731970897417,0.7726918518827113,0.7606061181703906,0.7745379442606594,0.7749144541148539,0.7805058848429974,0.7788756635890954
A549$_{300}$,0.8428403249570077,0.8348155838554456,0.8350007400506336,0.8855898729041557,0.8492335112588323,0.8570808485885532,0.8435520541155467,0.8649961416584441,1.0,0.92054914532533,0.9254299613350767,0.7433096637010015,0.7426888103800965,0.7519842125387803,0.7681461316716626,0.781219811152348,0.7874761878961055,0.7558024568114474,0.7609613088543383,0.7451319584809928,0.7554844072842427,0.7602486612833778,0.7562590226756668,0.752515457450168
A549$_{301}$,0.8319961888034103,0.8225566604775713,0.8246398016107125,0.889583163196538,0.8459015749939989,0.8565994720657246,0.8344988900710623,0.866432809152702,0.92054914532533,1.0,0.9223601122647466,0.7517012180801703,0.7526944748708589,0.7546636482731117,0.7722706507527303,0.7833670901411398,0.7909969101195038,0.7637435161758912,0.7676333164904291,0.7484956361396896,0.7589101947152816,0.7633554167423647,0.7623854377166456,0.7604338428499618
A549$_{302}$,0.8363121595094196,0.829003805697366,0.8290432907187282,0.8881362447376407,0.8453590228261098,0.8531229134279373,0.8358032101153399,0.8628880418543843,0.9254299613350767,0.9223601122647466,1.0,0.7488049138586378,0.7500581685690931,0.754024113290643,0.7695868103213087,0.7814481231014483,0.7875221802284815,0.7613394647594948,0.7661843398034536,0.7452705449887674,0.7569732467886403,0.7615461707677744,0.7585369471142306,0.7552026786773273
GM12878$_{400}$,0.7170347564592878,0.7144453333029417,0.7158829887764591,0.7533117160235328,0.7269413838882802,0.7305909653217344,0.717790452531308,0.7504290305129695,0.7433096637010015,0.7517012180801703,0.7488049138586378,1.0,0.9181234879361971,0.7406323717288833,0.7669057349406938,0.773192183206387,0.7866138970035981,0.784688197105752,0.79356403339997,0.7097199852566078,0.7299824184423764,0.7323131903176863,0.7593912284557464,0.7532617763350743
GM12878$_{401}$,0.7216257231531157,0.720052468602545,0.7206657525522117,0.755551672535026,0.734506747821762,0.7388430404509391,0.7235768350226562,0.7564302444242237,0.7426888103800965,0.7526944748708589,0.7500581685690931,0.9181234879361971,1.0,0.7519517427780292,0.7751120783294145,0.7790830616459363,0.7896690359626681,0.7908437133602121,0.7969988678742017,0.7205898903093122,0.7397507010870181,0.7414269477486229,0.7699090362078891,0.7660043550792791
HepG2$_{500}$,0.7619151400239024,0.7584011319266009,0.7625223259779476,0.7586763506831102,0.7711126129839706,0.7658135164777974,0.7632230085478565,0.7749182456248503,0.7519842125387803,0.7546636482731117,0.754024113290643,0.7406323717288833,0.7519517427780292,1.0,0.8966184950457388,0.7924743199020412,0.7862225334712142,0.7784148009205616,0.7781667638813216,0.7788009459256643,0.7865718918006069,0.786407293222235,0.797268806172862,0.7964663610229092
HepG2$_{501}$,0.7670559344084382,0.7653673731655737,0.766680452307004,0.7749196110303821,0.7726123133782757,0.7699994607604032,0.7684225387096258,0.7859901689062827,0.7681461316716626,0.7722706507527303,0.7695868103213087,0.7669057349406938,0.7751120783294145,0.8966184950457388,1.0,0.8069409193907213,0.8062245668053631,0.7986544508230226,0.8010434522143264,0.7662550542760033,0.7805006420658405,0.7838809791187845,0.8037013886667633,0.7984005491375925
