Cell1,Cell2,Exp1,Exp2,Rep1,Rep2,Isrep,Color,Rsq,Nmi
A549,A549,0,0,1,0,2,k,0.7770981313200532,0.6926977665848906
A549,A549,0,0,2,0,2,k,0.7471464951124508,0.6641624690294741
A549,A549,1,0,0,0,1,r,0.5950431892429786,0.4259502180926051
A549,A549,1,0,1,0,1,r,0.4656678711317012,0.39337612218430135
A549,A549,1,0,2,0,1,r,0.46963787593625267,0.3887536266871017
A549,A549,2,0,0,0,1,r,0.4641731806367583,0.38291437128545186
A549,A549,2,0,1,0,1,r,0.49899856815587695,0.39165914110217037
A549,A549,3,0,0,0,1,r,0.5530340235039906,0.42326862566712503
A549,A549,3,0,1,0,1,r,0.5345739347715386,0.3999714312160358
A549,A549,3,0,2,0,1,r,0.5552447423922351,0.41185110500361993
GM12878,A549,4,0,0,0,0,k,0.26687837459498176,0.1983656358098839
GM12878,A549,4,0,1,0,0,k,0.2347175908807303,0.19804574991267437
HepG2,A549,5,0,0,0,0,k,0.190610222122108,0.21120407681837938
HepG2,A549,5,0,1,0,0,k,0.23979769564724293,0.24105536924297954
IMR-90,A549,6,0,0,0,0,k,0.2980803502154679,0.2824480690455497
IMR-90,A549,6,0,1,0,0,k,0.3269860277482628,0.29444458104644683
K562,A549,7,0,0,0,0,k,0.23542471487595085,0.22698875968828028
K562,A549,7,0,1,0,0,k,0.23720195358590532,0.2315496965920265
RWPE2,A549,8,0,0,0,0,k,0.20950297907386592,0.21733258205747832
RWPE2,A549,8,0,1,0,0,k,0.22911041835865772,0.23403347061601856
RWPE2,A549,8,0,2,0,0,k,0.2541981420483338,0.24888255085426753
WTC11,A549,9,0,0,0,0,k,0.20726751637139826,0.23466586214561283
WTC11,A549,9,0,1,0,0,k,0.2009064364709436,0.22998897872219762
A549,A549,0,0,2,1,2,k,0.7209760536965963,0.6284326351263866
A549,A549,1,0,0,1,1,r,0.5843545365164623,0.41518713949002267
A549,A549,1,0,1,1,1,r,0.44665368478798656,0.3743074408941509
A549,A549,1,0,2,1,1,r,0.4506979813897224,0.3696363849059857
A549,A549,2,0,0,1,1,r,0.4548947014866962,0.37062690319657715
A549,A549,2,0,1,1,1,r,0.4914597989363941,0.3819383223639052
A549,A549,3,0,0,1,1,r,0.5391206879967002,0.4110349918903289
A549,A549,3,0,1,1,1,r,0.517698237494614,0.38618960522553675
A549,A549,3,0,2,1,1,r,0.5403404520186185,0.39940848256773726
GM12878,A549,4,0,0,1,0,k,0.2763581311578714,0.20425335410945
GM12878,A549,4,0,1,1,0,k,0.24319809130278833,0.20405025236474925
HepG2,A549,5,0,0,1,0,k,0.20143912173199544,0.22024915495659914
HepG2,A549,5,0,1,1,0,k,0.25337038082115043,0.2516812894782404
IMR-90,A549,6,0,0,1,0,k,0.3073805451340456,0.29020007361776307
IMR-90,A549,6,0,1,1,0,k,0.3382905131496486,0.30324582527637767
K562,A549,7,0,0,1,0,k,0.2471623715299151,0.23414693410261853
K562,A549,7,0,1,1,0,k,0.24856978795726437,0.23948888698361734
RWPE2,A549,8,0,0,1,0,k,0.2123313709112279,0.2165523434459834
RWPE2,A549,8,0,1,1,0,k,0.2328583398131378,0.23507000585509927
RWPE2,A549,8,0,2,1,0,k,0.25929994523622096,0.25124832770614886
WTC11,A549,9,0,0,1,0,k,0.21475534449564343,0.2426302008738952
WTC11,A549,9,0,1,1,0,k,0.20585527156722147,0.23485941125405332
A549,A549,1,0,0,2,1,r,0.5976178154333173,0.41489709612772946
A549,A549,1,0,1,2,1,r,0.46851292937850436,0.3918747269119356
A549,A549,1,0,2,2,1,r,0.46826215945857486,0.3813395955799384
A549,A549,2,0,0,2,1,r,0.47737359449056255,0.3904372102147674
A549,A549,2,0,1,2,1,r,0.5116887837267505,0.39034385211609074
A549,A549,3,0,0,2,1,r,0.5538908071924985,0.4102175605100913
A549,A549,3,0,1,2,1,r,0.5385916167402774,0.38678689381651277
A549,A549,3,0,2,2,1,r,0.5595108042451151,0.3991424054200398
GM12878,A549,4,0,0,2,0,k,0.2752743527663118,0.19684749045532468
GM12878,A549,4,0,1,2,0,k,0.23908609415698096,0.19537329359719174
HepG2,A549,5,0,0,2,0,k,0.19221725510642088,0.2113355721034992
HepG2,A549,5,0,1,2,0,k,0.2448014909191877,0.241283193670341
IMR-90,A549,6,0,0,2,0,k,0.3004423283277676,0.2820630340048123
IMR-90,A549,6,0,1,2,0,k,0.33074954659513417,0.29278048473007845
K562,A549,7,0,0,2,0,k,0.24632342015796496,0.2284963524560927
K562,A549,7,0,1,2,0,k,0.24774267225669425,0.23309536609897866
RWPE2,A549,8,0,0,2,0,k,0.19760039296385165,0.21017062791198993
RWPE2,A549,8,0,1,2,0,k,0.22484618809797308,0.23236193169252461
RWPE2,A549,8,0,2,2,0,k,0.24769816356813182,0.24579764842170926
