Sample Title,Cell Line,Mapped Reads,MACS2 Peaks,FrIP,Source
A549$_{000}$,A549,259029456,201532,0.5898,ENCSR032RGS
A549$_{001}$,A549,329679445,194975,0.5994,ENCSR032RGS
A549$_{002}$,A549,211291691,206536,0.5596,ENCSR032RGS
A549$_{100}$,A549,23987725,110323,0.588,This study
A549$_{101}$,A549,22605005,81917,0.3404,This study
A549$_{102}$,A549,17618743,82496,0.3702,This study
A549$_{200}$,A549,35069198,90386,0.3515,This study
A549$_{201}$,A549,15377297,79933,0.4202,This study
A549$_{300}$,A549,42567716,130475,0.636,This study
A549$_{301}$,A549,28744542,107737,0.6391,This study
A549$_{302}$,A549,35836016,117087,0.6595,This study
GM12878$_{400}$,GM12878,46889870,114746,0.7159,ENCSR095QNB
GM12878$_{401}$,GM12878,49588811,134743,0.6452,ENCSR095QNB
HepG2$_{500}$,HepG2,48113686,173756,0.4257,ENCSR042AWH
HepG2$_{501}$,HepG2,48246610,135767,0.4605,ENCSR042AWH
IMR-90$_{600}$,IMR-90,47543633,178156,0.5363,ENCSR200OML
IMR-90$_{601}$,IMR-90,61359070,200216,0.6104,ENCSR200OML
K562$_{700}$,K562,48217636,178230,0.5112,ENCSR483RKN
K562$_{701}$,K562,52270533,176789,0.5196,ENCSR483RKN
RWPE2$_{800}$,RWPE2,55152003,166239,0.474,ENCSR080SNF
RWPE2$_{801}$,RWPE2,43166947,177496,0.4555,ENCSR080SNF
RWPE2$_{802}$,RWPE2,48162285,154758,0.4652,ENCSR080SNF
WTC11$_{900}$,WTC11,74558506,245677,0.5505,ENCSR541KFY
WTC11$_{901}$,WTC11,79335328,277824,0.5732,ENCSR541KFY
