Replicate Cellline Experiment
## A549 ENCSR032RGS https://www.encodeproject.org/experiments/ENCSR032RGS/
ENCLB404SKN A549 ENCSR032RGS
ENCLB605LCC A549 ENCSR032RGS
ENCLB817BKI A549 ENCSR032RGS
## HepG2 ENCSR042AWH https://www.encodeproject.org/experiments/ENCSR042AWH/
ENCLB074EQT HepG2 ENCSR042AWH
ENCLB324GIU HepG2 ENCSR042AWH
## RWPE2 ENCSR080SNF https://www.encodeproject.org/experiments/ENCSR080SNF/
ENCLB293SLX RWPE2 ENCSR080SNF
ENCLB734LAL RWPE2 ENCSR080SNF
ENCLB984XHJ RWPE2 ENCSR080SNF
## GM12878 ENCSR095QNB https://www.encodeproject.org/experiments/ENCSR095QNB/
ENCLB584REF GM12878 ENCSR095QNB
ENCLB907YRF GM12878 ENCSR095QNB
## IMR-90 ENCSR200OML https://www.encodeproject.org/experiments/ENCSR200OML/
ENCLB432QLN IMR-90 ENCSR200OML
ENCLB937FOM IMR-90 ENCSR200OML
## K562 ENCSR483RKN https://www.encodeproject.org/experiments/ENCSR483RKN/
ENCLB758GEG K562 ENCSR483RKN
ENCLB918NXF K562 ENCSR483RKN
## WTC11 ENCSR541KFY https://www.encodeproject.org/experiments/ENCSR541KFY/
ENCLB621FEI WTC11 ENCSR541KFY
ENCLB715JYV WTC11 ENCSR541KFY
