,A549$_{000}$,A549$_{001}$,A549$_{002}$,A549$_{100}$,A549$_{101}$,A549$_{102}$,A549$_{200}$,A549$_{201}$,A549$_{300}$,A549$_{301}$,A549$_{302}$,GM12878$_{400}$,GM12878$_{401}$,HepG2$_{500}$,HepG2$_{501}$,IMR-90$_{600}$,IMR-90$_{601}$,K562$_{700}$,K562$_{701}$,RWPE2$_{800}$,RWPE2$_{801}$,RWPE2$_{802}$,WTC11$_{900}$,WTC11$_{901}$
A549$_{000}$,1.0,0.6926977665848906,0.6641624690294741,0.4259502180926051,0.39337612218430135,0.3887536266871017,0.38291437128545186,0.39165914110217037,0.42326862566712503,0.3999714312160358,0.41185110500361993,0.1983656358098839,0.19804574991267437,0.21120407681837938,0.24105536924297954,0.2824480690455497,0.29444458104644683,0.22698875968828028,0.2315496965920265,0.21733258205747832,0.23403347061601856,0.24888255085426753,0.23466586214561283,0.22998897872219762
A549$_{001}$,0.6926977665848906,1.0,0.6284326351263866,0.41518713949002267,0.3743074408941509,0.3696363849059857,0.37062690319657715,0.3819383223639052,0.4110349918903289,0.38618960522553675,0.39940848256773726,0.20425335410945,0.20405025236474925,0.22024915495659914,0.2516812894782404,0.29020007361776307,0.30324582527637767,0.23414693410261853,0.23948888698361734,0.2165523434459834,0.23507000585509927,0.25124832770614886,0.2426302008738952,0.23485941125405332
A549$_{002}$,0.6641624690294741,0.6284326351263866,1.0,0.41489709612772946,0.3918747269119356,0.3813395955799384,0.3904372102147674,0.39034385211609074,0.4102175605100913,0.38678689381651277,0.3991424054200398,0.19684749045532468,0.19537329359719174,0.2113355721034992,0.241283193670341,0.2820630340048123,0.29278048473007845,0.2284963524560927,0.23309536609897866,0.21017062791198993,0.23236193169252461,0.24579764842170926,0.23685967202838992,0.23283360700965744
A549$_{100}$,0.4259502180926051,0.41518713949002267,0.41489709612772946,1.0,0.48649964572633536,0.5112769832057226,0.4610928678039562,0.5196467558528048,0.555843749701239,0.5603115291593442,0.5584855966850392,0.23199987558582766,0.2251674433429903,0.19444489052960828,0.24116612706290594,0.2769571785067039,0.29399186555539614,0.2397381769764158,0.25415447210913555,0.1863106251295605,0.20991059391551295,0.22277159053490148,0.2191681449519741,0.21042593051318764
A549$_{101}$,0.39337612218430135,0.3743074408941509,0.3918747269119356,0.48649964572633536,1.0,0.6133971052580853,0.5069840507302701,0.48212718237880015,0.4686321855127719,0.45829303280312733,0.4596120962890351,0.1814186429268128,0.18075096094604975,0.17960364457046582,0.21130436715858716,0.24138466408390263,0.24698733328437159,0.19656993566054526,0.20511706098805413,0.18175384933141983,0.20403520966542188,0.21308463284796694,0.20145416335200306,0.19863109317484445
A549$_{102}$,0.3887536266871017,0.3696363849059857,0.3813395955799384,0.5112769832057226,0.6133971052580853,1.0,0.4962657006502056,0.4918016632624735,0.4865855651418159,0.48204751646482324,0.47682406304034214,0.18631377304850696,0.18492354100141928,0.17613523328876612,0.20923407252466372,0.23890081463087634,0.24592828285307908,0.19654108795004713,0.20577608650272666,0.18050446081388727,0.2019231867787034,0.21150724612717237,0.19874040611590676,0.19492272082856119
A549$_{200}$,0.38291437128545186,0.37062690319657715,0.3904372102147674,0.4610928678039562,0.5069840507302701,0.4962657006502056,1.0,0.5843871346473346,0.451962950048548,0.43675382399357493,0.4393177064314861,0.19858505547709968,0.19554873605544484,0.19586132238525358,0.23133588078310974,0.25983169761636526,0.26303896458104026,0.21538920131432696,0.22507645289659484,0.17671056331781723,0.20129656174954888,0.21156646629023032,0.21495569388015168,0.20974578923258197
A549$_{201}$,0.39165914110217037,0.3819383223639052,0.39034385211609074,0.5196467558528048,0.48212718237880015,0.4918016632624735,0.5843871346473346,1.0,0.49901453270666907,0.48984224196757165,0.4870841690438192,0.21699253492995166,0.21327355084063299,0.20240657346050236,0.24374493943308378,0.26867682132477794,0.2782130973170864,0.22869110315223404,0.2386031526810602,0.1825121223930617,0.205957725169759,0.2185671615490864,0.22240154971343473,0.21467109389744382
A549$_{300}$,0.42326862566712503,0.4110349918903289,0.4102175605100913,0.555843749701239,0.4686321855127719,0.4865855651418159,0.451962950048548,0.49901453270666907,1.0,0.7070179827447265,0.7300828143048003,0.2312406302519755,0.22298251051586584,0.1942559107167175,0.23966162077225409,0.28185846087298977,0.29854174096393243,0.2334956282480724,0.24649327603308968,0.19431621840604646,0.2142137302696074,0.22911082337807734,0.217426665662961,0.20888726909538863
A549$_{301}$,0.3999714312160358,0.38618960522553675,0.38678689381651277,0.5603115291593442,0.45829303280312733,0.48204751646482324,0.43675382399357493,0.48984224196757165,0.7070179827447265,1.0,0.7088026036471217,0.23098036996131113,0.2233208725919705,0.18948387527687693,0.23573767756183123,0.2772486698006293,0.2945300224771001,0.23346901706162454,0.24562665074895074,0.18956452274842975,0.20889750446168662,0.22318010402537314,0.21507793060369354,0.20728611071588104
