,A549$_{000}$,A549$_{001}$,A549$_{002}$,A549$_{100}$,A549$_{101}$,A549$_{102}$,A549$_{200}$,A549$_{201}$,A549$_{300}$,A549$_{301}$,A549$_{302}$,GM12878$_{400}$,GM12878$_{401}$,HepG2$_{500}$,HepG2$_{501}$,IMR-90$_{600}$,IMR-90$_{601}$,K562$_{700}$,K562$_{701}$,RWPE2$_{800}$,RWPE2$_{801}$,RWPE2$_{802}$,WTC11$_{900}$,WTC11$_{901}$
A549$_{000}$,1.0,0.7989040845114828,0.7870611881854037,0.6389283151128585,0.6534322336042305,0.6427422785400021,0.6421491456682225,0.6357692991273199,0.647303303643532,0.6298403486603067,0.6370964037512321,0.4812825130380316,0.4904377902298954,0.5497571299285533,0.547970130558712,0.56663260556465,0.5692949895157979,0.5202456538250225,0.5215163847874172,0.5477353567021745,0.5541840434908102,0.5560964492261219,0.5535438641572945,0.5551439136199744
A549$_{001}$,0.7989040845114828,1.0,0.7665695432008376,0.6277633102774561,0.6365736309149804,0.6269624799816919,0.6295606663173725,0.623946444631355,0.6338088700660269,0.6150902123255877,0.6249522217601414,0.4779424881244012,0.48894827181800854,0.5453954687049976,0.5456629417044075,0.5640577033131525,0.5675969359231559,0.5187840266017646,0.5207365386553862,0.5411632030768615,0.5502526115874206,0.5520457995827692,0.5507374340838999,0.5501027894464923
A549$_{002}$,0.7870611881854037,0.7665695432008376,1.0,0.63430131612859,0.6544352560660234,0.6396080518037877,0.6472091414906906,0.6348422573806322,0.6396168973183437,0.6230232002986784,0.6306275405983033,0.4813765665333171,0.4908355181207001,0.550628019280731,0.5481682204384942,0.5690967277176162,0.5703674997694204,0.5224072881803875,0.5223019320922263,0.5461410447200751,0.5556977835287649,0.5552140998129984,0.558305623399799,0.5595075854992122
A549$_{100}$,0.6389283151128585,0.6277633102774561,0.63430131612859,1.0,0.697338885123562,0.7071483274563084,0.6698746096988071,0.7076071549730192,0.7154842263317059,0.7199707468271739,0.7176007946518557,0.5068025657089053,0.5126856067365354,0.5289861108275952,0.5409198897646448,0.5541372681374237,0.5615457142163273,0.5242987551039926,0.5290522717530484,0.5196480658725949,0.5367347693285293,0.5370028794065622,0.5411401586681899,0.5405005563401143
A549$_{101}$,0.6534322336042305,0.6365736309149804,0.6544352560660234,0.697338885123562,1.0,0.7743577326681234,0.7209470155215592,0.7085704207816464,0.6905710881580184,0.6831163268976503,0.6851603465497049,0.4956379366198869,0.5063367294417136,0.5563291632064571,0.5529605401238904,0.5650245957640978,0.5629129211814023,0.5252054708865708,0.52628901949509,0.5533212698829479,0.563252498436814,0.5624732378870834,0.5603127173309527,0.5637474268465078
A549$_{102}$,0.6427422785400021,0.6269624799816919,0.6396080518037877,0.7071483274563084,0.7743577326681234,1.0,0.7088150008968598,0.7100306402664582,0.6949407503432752,0.6926031926076525,0.6882421628181015,0.4955828668877432,0.5080058639905303,0.5470871346362898,0.5464534323773756,0.5591578222487713,0.5572785682523343,0.5193928608063804,0.5214396336541646,0.5444978765935871,0.5569161191536139,0.55471169340309,0.5543718559566893,0.5562410196225819
A549$_{200}$,0.6421491456682225,0.6295606663173725,0.6472091414906906,0.6698746096988071,0.7209470155215592,0.7088150008968598,1.0,0.744442133954757,0.6738436964919579,0.6596942880973543,0.663459044779815,0.4830001115359222,0.4910355225902764,0.5448129814497809,0.546506083185957,0.5581075675811601,0.5510818659978036,0.5161541260439946,0.5193331287172687,0.5296922999525125,0.5422364823929379,0.5404428513204912,0.5438561086187287,0.5469134177880526
A549$_{201}$,0.6357692991273199,0.623946444631355,0.6348422573806322,0.7076071549730192,0.7085704207816464,0.7100306402664582,0.744442133954757,1.0,0.6960589927084354,0.6937394246972237,0.6903709463835509,0.5137777539442392,0.5231151035581696,0.5531232083843243,0.5611397655402117,0.5704566588508984,0.5707438487111987,0.5346199085619471,0.5367192453753227,0.5379830460730324,0.5539471579636002,0.5522828744157398,0.5619794491323642,0.5616887549887488
A549$_{300}$,0.647303303643532,0.6338088700660269,0.6396168973183437,0.7154842263317059,0.6905710881580184,0.6949407503432752,0.6738436964919579,0.6960589927084354,1.0,0.8004421381721541,0.8126979229555588,0.4990204481425032,0.501660250272155,0.52703507561925,0.5383079325088563,0.5571283323528657,0.5620243850017914,0.5172749641433534,0.5214516993684446,0.52147216833136,0.5350406553797392,0.5374749673920054,0.5347447952793134,0.533179785409533
A549$_{301}$,0.6298403486603067,0.6150902123255877,0.6230232002986784,0.7199707468271739,0.6831163268976503,0.6926031926076525,0.6596942880973543,0.6937394246972237,0.8004421381721541,1.0,0.8014993244934195,0.5068473556518399,0.5116389632502293,0.5271419464356847,0.5408414140910845,0.5575282785752663,0.5646888631202011,0.5233712289586361,0.5266796345499125,0.522593756179458,0.5352357947454257,0.5378596138686326,0.5391392446431997,0.5398656427348325
