,A549$_{000}$,A549$_{001}$,A549$_{002}$,A549$_{100}$,A549$_{101}$,A549$_{102}$,A549$_{200}$,A549$_{201}$,A549$_{300}$,A549$_{301}$,A549$_{302}$,GM12878$_{400}$,GM12878$_{401}$,HepG2$_{500}$,HepG2$_{501}$,IMR-90$_{600}$,IMR-90$_{601}$,K562$_{700}$,K562$_{701}$,RWPE2$_{800}$,RWPE2$_{801}$,RWPE2$_{802}$,WTC11$_{900}$,WTC11$_{901}$
A549$_{000}$,1.0,0.9320596843090903,0.9246164952694786,0.8235029802598368,0.8277177400412153,0.8224172317473354,0.8172378244074746,0.8132393267496028,0.8237513814341598,0.8073402280837512,0.8142279111283768,0.6633937827665746,0.6718299547816043,0.7034192175251419,0.7102698077132643,0.7509144127696521,0.7571422334429412,0.6812362808160083,0.6828159708975445,0.716667015719319,0.7285859701719591,0.7352630676980665,0.7196855081805241,0.7198063724782208
A549$_{001}$,0.9320596843090903,1.0,0.9148320253233794,0.818560255549379,0.8163421418495658,0.8113368989573707,0.8102514021754967,0.8077468619516472,0.8163142459832269,0.7985867630174426,0.806834823246076,0.6662397073729605,0.673472176428023,0.7032978952111582,0.7128246434416154,0.7508450452552651,0.7585484266359774,0.6844827745678632,0.6858868269015099,0.7126717121626889,0.725622670455462,0.7331000553932163,0.7177333430177097,0.7160650921615463
A549$_{002}$,0.9246164952694786,0.9148320253233794,1.0,0.8197055636579142,0.8333559904327534,0.8247158385875566,0.8263100163336001,0.8176775504833484,0.8216474493231024,0.8057440349940235,0.8123838343019112,0.6684497443979132,0.6772437044630121,0.7128027873675578,0.7183925631491244,0.7587670391980382,0.7638228810696599,0.691073772904363,0.6921838707239354,0.7193057512874816,0.7351962856022302,0.7392343053851438,0.7322490013749582,0.7325330416104332
A549$_{100}$,0.8235029802598368,0.818560255549379,0.8197055636579142,1.0,0.8744313784305429,0.8889200306636624,0.8758654277978783,0.9044871843984863,0.910923314277795,0.9157856214514923,0.9153183943328562,0.6892954215069509,0.6728946775926874,0.6399507160939782,0.677915878230845,0.7102764446396179,0.7269730106506278,0.6633636706217148,0.6776662146747878,0.6346312127366334,0.6620239406085711,0.6716455190762362,0.6626352651271292,0.6586628345592873
A549$_{101}$,0.8277177400412153,0.8163421418495658,0.8333559904327534,0.8744313784305429,1.0,0.9218854067997329,0.8918284689371664,0.8844732745118693,0.8697414002236279,0.8668626799153716,0.86511220103957,0.6740600645432338,0.6830402393858975,0.7124729882733992,0.7178293139443481,0.7500440551823331,0.7515155042417343,0.6807662617827661,0.6915447637078078,0.7110684066531261,0.7309615619206534,0.7314085141232145,0.7332314852535438,0.7353364040653594
A549$_{102}$,0.8224172317473354,0.8113368989573707,0.8247158385875566,0.8889200306636624,0.9218854067997329,1.0,0.8892329902774809,0.8912278226821949,0.8792995549751141,0.879776177375629,0.8748898444732418,0.6743976642835902,0.6812930198988196,0.6982305815345442,0.707792829515409,0.7405874322567841,0.7436685062504076,0.6734679720996647,0.6854247223831815,0.6982189837959885,0.7197685006446961,0.7204838511096283,0.7211429132474482,0.721990951099831
A549$_{200}$,0.8172378244074746,0.8102514021754967,0.8263100163336001,0.8758654277978783,0.8918284689371664,0.8892329902774809,1.0,0.9149721500674177,0.8721894473578453,0.8670119882674224,0.8678514007533722,0.6834837952154982,0.6805937184779538,0.6987335691944282,0.7154455740786503,0.7423876189486638,0.7437165687024114,0.6805939417359586,0.693610756475211,0.6783144694303609,0.7023542503546898,0.7042958974027458,0.7147499549937016,0.7148946961049436
A549$_{201}$,0.8132393267496028,0.8077468619516472,0.8176775504833484,0.9044871843984863,0.8844732745118693,0.8912278226821949,0.9149721500674177,1.0,0.8931499184061282,0.8938637136100124,0.8921408763786871,0.6997684974848224,0.6937038042032273,0.6897268647100621,0.7147684356916695,0.7385808449141789,0.7460594013547488,0.6852646529724029,0.6976736041546447,0.6701144011825313,0.6961045755866567,0.7006292730240906,0.7095514195832476,0.7075412958571073
A549$_{300}$,0.8237513814341598,0.8163142459832269,0.8216474493231024,0.910923314277795,0.8697414002236279,0.8792995549751141,0.8721894473578453,0.8931499184061282,1.0,0.9515800409601837,0.9554289668221461,0.6982782781627952,0.6842387372315655,0.6564581198910554,0.6899697253974688,0.7297842701847743,0.7442747933881786,0.6742604167810431,0.686255634015955,0.6557359299056382,0.6779349209967516,0.6877070369426491,0.6786543947467623,0.6748772584033721
A549$_{301}$,0.8073402280837512,0.7985867630174426,0.8057440349940235,0.9157856214514923,0.8668626799153716,0.879776177375629,0.8670119882674224,0.8938637136100124,0.9515800409601837,1.0,0.9543852289059536,0.6996817962356376,0.6844394190295834,0.648914609434894,0.6852739170456547,0.7247337721938213,0.7408551899811318,0.6728322032370324,0.6861896545686351,0.6478202410130811,0.670426925372513,0.6802003351047307,0.6766458254364007,0.6733158193306863
A549$_{302}$,0.8142279111283768,0.806834823246076,0.8123838343019112,0.9153183943328562,0.86511220103957,0.8748898444732418,0.8678514007533722,0.8921408763786871,0.9554289668221461,0.9543852289059536,1.0,0.6975498639540101,0.6821190377520405,0.6446470984598228,0.6805594365496062,0.7211697056282755,0.7367288954636299,0.6699672150619034,0.6821694186759155,0.6423574604042295,0.666459844219909,0.676704747536476,0.6687529252207348,0.6645084337729954
GM12878$_{400}$,0.6633937827665746,0.6662397073729605,0.6684497443979132,0.6892954215069509,0.6740600645432338,0.6743976642835902,0.6834837952154982,0.6997684974848224,0.6982782781627952,0.6996817962356376,0.6975498639540101,1.0,0.9283404055558631,0.6721687713590146,0.7183771880859082,0.7463892857374155,0.7642703271700862,0.7391067203689704,0.7583110951997062,0.6112509235819518,0.6415668123266369,0.649001878799844,0.7003365943904367,0.6878427907158469
GM12878$_{401}$,0.6718299547816043,0.673472176428023,0.6772437044630121,0.6728946775926874,0.6830402393858975,0.6812930198988196,0.6805937184779538,0.6937038042032273,0.6842387372315655,0.6844394190295834,0.6821190377520405,0.9283404055558631,1.0,0.6948628888547931,0.7255845946234052,0.7493105776367396,0.7623246066660072,0.7393088548710802,0.7523550358226865,0.6458818161489017,0.672217801934102,0.6754625125264279,0.7252822587831353,0.7185504922307334
HepG2$_{500}$,0.7034192175251419,0.7032978952111582,0.7128027873675578,0.6399507160939782,0.7124729882733992,0.6982305815345442,0.6987335691944282,0.6897268647100621,0.6564581198910554,0.648914609434894,0.6446470984598228,0.6721687713590146,0.6948628888547931,1.0,0.9031743414428217,0.7585724380348393,0.7528003013535367,0.704834964879927,0.7128481999471545,0.729114709830681,0.7431145967236874,0.740638761852852,0.7674583114363376,0.7653719530362835
HepG2$_{501}$,0.7102698077132643,0.7128246434416154,0.7183925631491244,0.677915878230845,0.7178293139443481,0.707792829515409,0.7154455740786503,0.7147684356916695,0.6899697253974688,0.6852739170456547,0.6805594365496062,0.7183771880859082,0.7255845946234052,0.9031743414428217,1.0,0.7738713517645064,0.7765618046425459,0.7340731528205175,0.7481232921579575,0.7073141735611537,0.7293909774065533,0.7317140092656282,0.7675088471217191,0.7599695767092522
