Chrom	Source	Feature	Start	End	Score	Strand	Frame	Attribute	Gene
NC_060941.1	BestRefSeq	gene	64493028	64567209	.	+	.	ID=gene-MAP3K3;Dbxref=GeneID:4215,HGNC:HGNC:6855,MIM:602539;Name=MAP3K3;description=mitogen-activated protein kinase kinase kinase 3;gbkey=Gene;gene=MAP3K3;gene_biotype=protein_coding;gene_synonym=MAPKKK3,MEKK3	MAP3K3
NC_060941.1	BestRefSeq	exon	64503288	64503409	.	+	.	ID=exon-NM_203351.3-2;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64505316	64505408	.	+	.	ID=exon-NM_203351.3-3;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64516630	64516670	.	+	.	ID=exon-NM_203351.3-4;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64523149	64523248	.	+	.	ID=exon-NM_203351.3-5;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64528701	64528814	.	+	.	ID=exon-NM_203351.3-6;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64537844	64537964	.	+	.	ID=exon-NM_203351.3-7;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64552672	64552805	.	+	.	ID=exon-NM_203351.3-8;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64556421	64556494	.	+	.	ID=exon-NM_203351.3-9;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
NC_060941.1	BestRefSeq	exon	64559434	64559501	.	+	.	ID=exon-NM_203351.3-10;Parent=rna-NM_203351.3;Dbxref=GeneID:4215,Genbank:NM_203351.3,HGNC:HGNC:6855,MIM:602539;Note=The RefSeq transcript has 1 substitution%2C 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=MAP3K3;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_203351.3;product=mitogen-activated protein kinase kinase kinase 3%2C transcript variant 1;transcript_id=NM_203351.3	MAP3K3
